wvls,l_star,g
757.0,73226.07269429827,-0.19987257799642041
758.0,73841.0600046818,-0.19898077476728163
759.0,74458.88927822492,-0.19809686166766982
760.0,75079.58814883986,-0.19722072082446032
761.0,75703.18328084884,-0.19635223721233255
762.0,76329.69189277804,-0.19549129779856483
763.0,76959.05423113488,-0.19463779184999727
764.0,77591.38056704146,-0.19379161080925691
765.0,78226.65307514046,-0.19295264834215933
766.0,78864.85404105687,-0.1921208000782215
767.0,79506.022577274,-0.19129596380997527
768.0,80150.11718168102,-0.19047803933017923
769.0,80797.2822633547,-0.1896669282936455
770.0,81447.40985193061,-0.1888625344132301
771.0,82100.51249915494,-0.18806476299205604
772.0,82756.67175529967,-0.18727352162514146
773.0,83415.84655847105,-0.1864887192250123
774.0,84078.15262026951,-0.18571026663370863
775.0,84743.47106127118,-0.184938076556721
776.0,85411.85112563874,-0.1841720631451842
777.0,86083.2835456094,-0.1834121421822712
778.0,86757.93848483254,-0.18265823121131458
779.0,87435.6420809612,-0.18191024921792526
780.0,88116.43695911877,-0.18116811677679315
781.0,88800.42168510861,-0.180431755822345
782.0,89487.5471003064,-0.1797010898578372
783.0,90177.86388023698,-0.17897604384065965
784.0,90871.34076012597,-0.17825654402566843
785.0,91568.01007327113,-0.17754251807834104
786.0,92267.89348186519,-0.17683389480895456
787.0,92971.02063326165,-0.1761306048179799
788.0,93677.37529006334,-0.17543257944354973
789.0,94386.92880532445,-0.17473975146523224
790.0,95099.78653060454,-0.17405205498981505
791.0,95815.8494950586,-0.17336942518827544
792.0,96535.24931214421,-0.1726917984000044
793.0,97257.99081029394,-0.17201911216364937
794.0,97983.95215762043,-0.17135130512465463
795.0,98713.33041048553,-0.17068831697313377
796.0,99445.92698512929,-0.17003008836982442
797.0,100181.96299089277,-0.16937656122888867
798.0,100921.33102061026,-0.16872767841806416
799.0,101664.05146137954,-0.1680833836654985
800.0,102410.18998707728,-0.16744362188992754
